path	class	in_feature_set	candidate_state	upstream_state	candidate_differs_upstream	accepted_differs_upstream
src/commands/sessions.test.ts	test-file	no	present	present	no	yes
src/config/config-misc.test.ts	test-file	no	present	present	no	yes
src/context-engine/quarantine-health.test.ts	test-file	no	present	present	no	yes
src/cron/isolated-agent/delivery-dispatch.double-announce.test.ts	test-file	yes	present	present	yes	yes
src/entry.test.ts	test-file	no	present	present	no	yes
src/gateway/chat-display-projection.test.ts	test-file	no	present	present	no	yes
src/gateway/control-ui.http.test.ts	test-file	no	present	present	no	yes
src/gateway/node-invoke-plugin-policy.receipts.test.ts	test-file	no	present	present	no	yes
src/gateway/openai-http.test.ts	test-file	no	present	present	no	yes
src/gateway/openresponses-http.test.ts	test-file	no	present	present	no	yes
src/gateway/server-methods/approval-shared.test.ts	test-file	no	present	present	no	yes
src/gateway/server-methods/server-methods.test.ts	test-file	yes	present	present	yes	yes
src/gateway/server-plugins.test.ts	test-file	no	present	present	no	yes
src/gateway/server.chat.gateway-server-chat-b.test.ts	test-file	yes	present	present	yes	yes
src/gateway/server.sessions.preview-resolve.test.ts	test-file	no	present	present	no	yes
src/gateway/server/health-state.test.ts	test-file	no	present	present	no	yes
src/gateway/session-display-projection.test.ts	test-file	no	present	present	no	yes
src/gateway/session-message-events.test.ts	test-file	no	present	present	no	yes
src/gateway/talk-realtime-relay.test.ts	test-file	no	present	present	no	yes
src/gateway/worker-environments/placement-store.turn-claim-closure.test.ts	test-file	no	present	present	no	yes
src/gateway/worker-environments/worker-session-tool-executor.test.ts	test-file	no	present	present	no	yes
src/gateway/worker-environments/worker-turn-rpc.test.ts	test-file	no	present	present	no	yes
src/infra/heartbeat-runner.returns-default-unset.test.ts	test-file	yes	present	present	yes	yes
src/infra/heartbeat-runner.targeted-unscheduled-wake.test.ts	test-file	yes	present	present	yes	yes
src/infra/heartbeat-wake.transcript-context.test.ts	test-file	no	present	present	yes	yes
src/infra/unhandled-rejections.plugin-sync-hooks.test.ts	test-file	no	present	present	no	yes
src/plugin-sdk/provider-auth-write-compat.test.ts	test-file	no	present	present	no	yes
src/plugins/hooks.before-tool-call.test.ts	test-file	no	present	present	no	yes
src/plugins/runtime/runtime-embedded-agent.runtime.test.ts	test-file	no	present	present	no	yes
src/process/supervisor/registry.test.ts	test-file	no	present	present	no	yes
src/state/openclaw-state-db.test.ts	test-file	yes	present	present	yes	yes
src/system-agent/setup-inference.test.ts	test-file	no	present	present	no	yes
src/talk/session-runtime.test.ts	test-file	no	present	present	no	yes
src/wizard/setup.model-auth.test.ts	test-file	no	present	present	no	yes
